Question,Numbers,Equation,Answer,group_nums,Body,Ques_Statement
Jill invited number0 people to her birthday party . They each ate number1 pieces of pizza . How many pieces of pizza did they eat ?,37.0 8.0,* number0 number1,296.0,"[1, 2, 3, 11, 12, 13, 22, 23, 24]",Jill invited number0 people to her birthday party . They each ate number1 pieces of pizza .,How many pieces of pizza did they eat ?
"Each year , salmon travel upstream , going from the ocean to the rivers where they were born . This year , number0 male and number1 female salmon returned to their rivers . How many salmon made the trip ?",712261.0 259378.0,+ number0 number1,971639.0,"[21, 22, 23, 24, 25, 26, 36, 37, 38]","Each year , salmon travel upstream , going from the ocean to the rivers where they were born . This year , number0 male and number1 female salmon returned to their rivers .",How many salmon made the trip ?
"Bianca was organizing her book case making sure each of the shelves had exactly number0 books on it . If she had number1 shelves of mystery books and number2 shelves of picture books , how many books did she have total ?",8.0 5.0 4.0,* number0 + number1 number2,72.0,"[13, 14, 15, 21, 22, 23, 27, 28, 29, 38, 39, 40]","Bianca was organizing her book case making sure each of the shelves had exactly number0 books on it . If she had number1 shelves of mystery books and number2 shelves of picture books ,",how many books did she have total ?
"When Jake had number0 cat , he needed to serve number1 can of cat food each day . Now that Jake has adopted a second cat , he needs to serve a total of number2 can each day . How much extra food is needed to feed the second cat ?",1.0 0.5 0.9,- number2 number1,0.4,"[2, 3, 4, 9, 10, 11, 33, 34, 35, 47, 48, 49]","When Jake had number0 cat , he needed to serve number1 can of cat food each day . Now that Jake has adopted a second cat , he needs to serve a total of number2 can each day .",How much extra food is needed to feed the second cat ?
There are number0 apples in a pile on the desk . Each apple comes in a package of number1 . number2 apples are added to the pile . How many apples are there in the pile ?,8.0 11.0 5.0,+ number0 number2,13.0,"[1, 2, 3, 17, 18, 19, 19, 20, 21, 33, 34, 35]",There are number0 apples in a pile on the desk . Each apple comes in a package of number1 . number2 apples are added to the pile .,How many apples are there in the pile ?
There are number0 bicycles and number1 tricycles in the storage area at Danny 's apartment building . Each bicycle has number2 wheels and each tricycle has number3 wheels . How many wheels are there in all ?,24.0 14.0 2.0 3.0,+ * number0 number2 * number1 number3,90.0,"[1, 2, 3, 4, 5, 6, 19, 20, 21, 25, 26, 27, 33, 34, 35]",There are number0 bicycles and number1 tricycles in the storage area at Danny 's apartment building . Each bicycle has number2 wheels and each tricycle has number3 wheels .,How many wheels are there in all ?
The school is planning a field trip . There are number0 students and number1 seats on each school bus . How many buses are needed to take the trip ?,180.0 60.0,/ number0 number1,3.0,"[9, 10, 11, 12, 13, 14, 26, 27, 28]",The school is planning a field trip . There are number0 students and number1 seats on each school bus .,How many buses are needed to take the trip ?
"Rachel was playing a video game and had number0 lives . In a hard part of the game she lost number1 lives . If she got number2 more lives in the next level , how many lives would she have ?",10.0 4.0 26.0,- + number0 number2 number1,32.0,"[7, 8, 9, 19, 20, 21, 25, 26, 27, 37, 38, 39]","Rachel was playing a video game and had number0 lives . In a hard part of the game she lost number1 lives . If she got number2 more lives in the next level ,",how many lives would she have ?
Heather has number0 oranges . Russell takes number1 away . How many oranges will Heather have ?,60.0 35.0,- number0 number1,25.0,"[1, 2, 3, 6, 7, 8, 13, 14, 15]",Heather has number0 oranges . Russell takes number1 away .,How many oranges will Heather have ?
"Vanessa had number0 music files and number1 video files on her flash drive . If she deleted number2 of the files , how many files were still on her flash drive ?",16.0 48.0 30.0,- + number0 number1 number2,34.0,"[1, 2, 3, 5, 6, 7, 16, 17, 18, 28, 29, 30]","Vanessa had number0 music files and number1 video files on her flash drive . If she deleted number2 of the files ,",how many files were still on her flash drive ?
Keith grew number0 turnips . Alyssa grew number1 turnips . How many turnips did they grow in all ?,6.0 9.0,+ number0 number1,15,"[1, 2, 3, 6, 7, 8, 15, 16, 17]",Keith grew number0 turnips . Alyssa grew number1 turnips .,How many turnips did they grow in all ?
"There are number0 students in the class and number1 pencils . If the pencils are divided equally among the students , how many does each student get ?",2.0 18.0,/ number1 number0,9.0,"[1, 2, 3, 7, 8, 9, 24, 25, 26]","There are number0 students in the class and number1 pencils . If the pencils are divided equally among the students ,",how many does each student get ?
"Zoe baked number0 brownies , but needed number1 total for her party . If she used number2 cups of flour on each one , how much cups of flour does she still need ?",5.0 11.0 7.0,* number2 - number1 number0,42.0,"[1, 2, 3, 6, 7, 8, 15, 16, 17, 30, 31, 32]","Zoe baked number0 brownies , but needed number1 total for her party . If she used number2 cups of flour on each one ,",how much cups of flour does she still need ?
"Tom went to number0 hockey games this year , but missed number1 . He went to number2 games last year . How many hockey games did Tom go to in all ?",4.0 7.0 9.0,+ number0 number2,13,"[2, 3, 4, 10, 11, 12, 15, 16, 17, 28, 29, 30]","Tom went to number0 hockey games this year , but missed number1 . He went to number2 games last year .",How many hockey games did Tom go to in all ?
"Emily bought number0 new chairs and number1 new tables for her house . If she spent number2 minutes on each piece furniture putting it together , how many minutes did it take her to finish ?",4.0 2.0 8.0,* number2 + number0 number1,48.0,"[1, 2, 3, 5, 6, 7, 15, 16, 17, 32, 33, 34]","Emily bought number0 new chairs and number1 new tables for her house . If she spent number2 minutes on each piece furniture putting it together ,",how many minutes did it take her to finish ?
Sam has number0 books . Joan has number1 books . How many books do they have together ?,110.0 102.0,+ number0 number1,212,"[1, 2, 3, 6, 7, 8, 14, 15, 16]",Sam has number0 books . Joan has number1 books .,How many books do they have together ?
Sam found number0 seashells and Mary found number1 seashells on the beach . How many seashells did they find together ?,18.0 47.0,+ number0 number1,65.0,"[1, 2, 3, 6, 7, 8, 17, 18, 19]",Sam found number0 seashells and Mary found number1 seashells on the beach .,How many seashells did they find together ?
Sam had number0 dimes in his bank . His dad gave him number1 dimes . How many dimes does Sam have now ?,9.0 7.0,+ number0 number1,16,"[1, 2, 3, 11, 12, 13, 19, 20, 21]",Sam had number0 dimes in his bank . His dad gave him number1 dimes .,How many dimes does Sam have now ?
A number is number0 less than the sum of number1 and number2 . What is the number ?,14.0 30.0 29.0,- + number1 number2 number0,45.0,"[2, 3, 4, 8, 9, 10, 10, 11, 12, 14, 15, 16]",A number is number0 less than the sum of number1 and number2 .,What is the number ?
Sam went to number0 football games this year . He went to number1 games last year . How many football games did Sam go to in all ?,14.0 29.0,+ number0 number1,43,"[2, 3, 4, 11, 12, 13, 24, 25, 26]",Sam went to number0 football games this year . He went to number1 games last year .,How many football games did Sam go to in all ?
Nancy bought number0 crayons that came in packs of number1 . How many packs of crayons did Nancy buy ?,615.0 15.0,/ number0 number1,41.0,"[1, 2, 3, 8, 9, 10, 18, 19, 20]",Nancy bought number0 crayons that came in packs of number1 .,How many packs of crayons did Nancy buy ?
Scarlett made a fruit salad with number0 pound of melon and number1 pound of berries . How many pounds of fruit did Scarlett use in all ?,0.25 0.375,+ number0 number1,0.625,"[5, 6, 7, 10, 11, 12, 23, 24, 25]",Scarlett made a fruit salad with number0 pound of melon and number1 pound of berries .,How many pounds of fruit did Scarlett use in all ?
"At Oliver 's Restaurant a group with number0 adults and number1 children came in to eat . If each meal cost number2 dollars , how much was the bill ?",2.0 4.0 3.0,* number2 + number0 number1,18.0,"[6, 7, 8, 9, 10, 11, 20, 21, 22, 26, 27, 28]","At Oliver 's Restaurant a group with number0 adults and number1 children came in to eat . If each meal cost number2 dollars ,",how much was the bill ?
"A waiter had number0 customers to wait on . If number1 customers left and he got another number2 customers , how many customers would he have ?",19.0 14.0 36.0,- + number0 number2 number1,41.0,"[2, 3, 4, 9, 10, 11, 16, 17, 18, 23, 24, 25]","A waiter had number0 customers to wait on . If number1 customers left and he got another number2 customers ,",how many customers would he have ?
There are number0 marbles in each box . How many marbles are in number1 boxes ?,6.0 3.0,* number0 number1,18.0,"[1, 2, 3, 12, 13, 14, 12, 13, 14]",There are number0 marbles in each box .,How many marbles are in number1 boxes ?
"A farmer estimates that he will harvest number0 bushels of wheat . The weather is perfect during the growing season , so he harvests number1 more bushels of wheat than expected . How many bushels of wheat does the farmer harvest ?",48097.0 684.0,+ number0 number1,48781.0,"[6, 7, 8, 23, 24, 25, 38, 39, 40]","A farmer estimates that he will harvest number0 bushels of wheat . The weather is perfect during the growing season , so he harvests number1 more bushels of wheat than expected .",How many bushels of wheat does the farmer harvest ?
"Joan has number0 blue balloons , Sally has number1 blue balloons , and Jessica has number2 blue balloons . How many blue balloons do they have in total ?",9.0 5.0 2.0,+ + number0 number1 number2,16.0,"[1, 2, 3, 7, 8, 9, 14, 15, 16, 25, 26, 27]","Joan has number0 blue balloons , Sally has number1 blue balloons , and Jessica has number2 blue balloons .",How many blue balloons do they have in total ?
Jacqueline has number0 boxes of erasers . Each box holds number1 erasers and there are number2 boxes in a case . How many erasers does Jacqueline have ?,4.0 10.0 9.0,* number0 number1,40.0,"[1, 2, 3, 9, 10, 11, 14, 15, 16, 24, 25, 26]",Jacqueline has number0 boxes of erasers . Each box holds number1 erasers and there are number2 boxes in a case .,How many erasers does Jacqueline have ?
There are number0 fishbowls . Each fishbowl has number1 fish . How many fish are there ?,261.0 23.0,* number0 number1,6003.0,"[1, 2, 3, 7, 8, 9, 13, 14, 15]",There are number0 fishbowls . Each fishbowl has number1 fish .,How many fish are there ?
Benny bought number0 dozen eggs from the grocery store to bake some cakes . How many eggs did Benny buy ?,7.0,* number0 12.0,84.0,"[1, 2, 3, 19, 20, 21]",Benny bought number0 dozen eggs from the grocery store to bake some cakes .,How many eggs did Benny buy ?
"Vanessa and her mom were picking carrots from their garden . Vanessa picked number0 and her mother picked number1 . If only number2 of the carrots were good , how many bad carrots did they have ?",17.0 14.0 24.0,- + number0 number1 number2,7.0,"[12, 13, 14, 17, 18, 19, 21, 22, 23, 33, 34, 35]","Vanessa and her mom were picking carrots from their garden . Vanessa picked number0 and her mother picked number1 . If only number2 of the carrots were good ,",how many bad carrots did they have ?
Brenda starts with number0 Skittles . She buys number1 more . How many Skittles does Brenda end with ?,7.0 8.0,+ number0 number1,15.0,"[2, 3, 4, 7, 8, 9, 15, 16, 17]",Brenda starts with number0 Skittles . She buys number1 more .,How many Skittles does Brenda end with ?
There are number0 pots . Each pot has number1 flowers in it . How many flowers are there in all ?,544.0 32.0,* number0 number1,17408.0,"[1, 2, 3, 7, 8, 9, 17, 18, 19]",There are number0 pots . Each pot has number1 flowers in it .,How many flowers are there in all ?
Juan ran number0 miles at number1 miles per hour . How long did Juan run ?,80.0 10.0,/ number0 number1,8.0,"[1, 2, 3, 4, 5, 6, 12, 13, 14]",Juan ran number0 miles at number1 miles per hour .,How long did Juan run ?
"A painter needed to paint number0 rooms in a building . Each room takes number1 hours to paint . If he already painted number2 rooms , how much longer will he take to paint the rest ?",11.0 7.0 2.0,* number1 - number0 number2,63.0,"[4, 5, 6, 13, 14, 15, 22, 23, 24, 33, 34, 35]","A painter needed to paint number0 rooms in a building . Each room takes number1 hours to paint . If he already painted number2 rooms ,",how much longer will he take to paint the rest ?
"April 's discount flowers was having a sale where each rose was number0 dollars . If April started with number1 roses and had number2 roses left , how much money did she earn ?",9.0 11.0 8.0,* number0 - number1 number2,27.0,"[11, 12, 13, 18, 19, 20, 22, 23, 24, 30, 31, 32]","April 's discount flowers was having a sale where each rose was number0 dollars . If April started with number1 roses and had number2 roses left ,",how much money did she earn ?
Emily was planting vegetables in her garden . She started with number0 seeds and planted number1 of them in the big garden and in each of her small gardens put number2 seeds each . How many small gardens did Emily have ?,41.0 29.0 4.0,/ - number0 number1 number2,3.0,"[10, 11, 12, 14, 15, 16, 29, 30, 31, 38, 39, 40]",Emily was planting vegetables in her garden . She started with number0 seeds and planted number1 of them in the big garden and in each of her small gardens put number2 seeds each .,How many small gardens did Emily have ?
Albert has two snakes . The garden snake is number0 inches long . The boa constrictor is number1 times longer than the garden snake . How long is the boa constrictor ?,10.0 7.0,* number0 number1,70.0,"[8, 9, 10, 16, 17, 18, 30, 31, 32]",Albert has two snakes . The garden snake is number0 inches long . The boa constrictor is number1 times longer than the garden snake .,How long is the boa constrictor ?
Charles has number0 Skittles . Diana takes number1 away . How many Skittles will Charles have ?,25.0 7.0,- number0 number1,18.0,"[1, 2, 3, 6, 7, 8, 13, 14, 15]",Charles has number0 Skittles . Diana takes number1 away .,How many Skittles will Charles have ?
"Megan was selling her necklaces at a garage sale . She sold number0 bead necklaces and number1 gem stone necklaces . If each necklace cost number2 dollars , how much money did she earn ?",7.0 3.0 9.0,* number2 + number0 number1,90.0,"[11, 12, 13, 15, 16, 17, 24, 25, 26, 31, 32, 33]","Megan was selling her necklaces at a garage sale . She sold number0 bead necklaces and number1 gem stone necklaces . If each necklace cost number2 dollars ,",how much money did she earn ?
The school is planning a field trip . There are number0 students and number1 seats on each school bus . How many buses are needed to take the trip ?,9.0 3.0,/ number0 number1,3.0,"[9, 10, 11, 12, 13, 14, 26, 27, 28]",The school is planning a field trip . There are number0 students and number1 seats on each school bus .,How many buses are needed to take the trip ?
Melanie goes fishing with Tom . Melanie catches number0 trout . Tom catches number1 times as many trout as Melanie . How many trout did Tom catch ?,8.0 2.0,* number0 number1,16.0,"[7, 8, 9, 12, 13, 14, 24, 25, 26]",Melanie goes fishing with Tom . Melanie catches number0 trout . Tom catches number1 times as many trout as Melanie .,How many trout did Tom catch ?
Mrs. Franklin had number0 Valentines . Mrs. Franklin gave some to her students . Now she has number1 . How many Valentines did Mrs. Franklin give to her students ?,58.0 16.0,- number0 number1,42.0,"[2, 3, 4, 16, 17, 18, 28, 29, 30]",Mrs. Franklin had number0 Valentines . Mrs. Franklin gave some to her students . Now she has number1 .,How many Valentines did Mrs. Franklin give to her students ?
"Isha ’ s pencil is number0 inches long . If she sharpens it , now her pencil is number1 inches long . How much did she sharpen off of her pencil ?",31.0 14.0,- number0 number1,17.0,"[3, 4, 5, 16, 17, 18, 27, 28, 29]","Isha ’ s pencil is number0 inches long . If she sharpens it , now her pencil is number1 inches long .",How much did she sharpen off of her pencil ?
"Jerry had number0 action figures , but needed number1 total for a complete collection . If each one costs $ number2 , how much money would he need to finish his collection ?",7.0 16.0 8.0,* number2 - number1 number0,72.0,"[1, 2, 3, 7, 8, 9, 19, 20, 21, 29, 30, 31]","Jerry had number0 action figures , but needed number1 total for a complete collection . If each one costs $ number2 ,",how much money would he need to finish his collection ?
Jill invited number0 people to her birthday party . They each ate number1 pieces of pizza . How many pieces of pizza did they eat ?,37.0 8.0,* number0 number1,296.0,"[1, 2, 3, 11, 12, 13, 22, 23, 24]",Jill invited number0 people to her birthday party . They each ate number1 pieces of pizza .,How many pieces of pizza did they eat ?
There are number0 crayons and number1 pencils in the drawer . Sam placed number2 crayons in the drawer . How many crayons are now there in total ?,41.0 26.0 12.0,+ number0 number2,53,"[1, 2, 3, 4, 5, 6, 12, 13, 14, 24, 25, 26]",There are number0 crayons and number1 pencils in the drawer . Sam placed number2 crayons in the drawer .,How many crayons are now there in total ?
Jennifer starts with number0 apples . She finds another number1 . How many apples does Jennifer end with ?,7.0 74.0,+ number0 number1,81.0,"[2, 3, 4, 8, 9, 10, 15, 16, 17]",Jennifer starts with number0 apples . She finds another number1 .,How many apples does Jennifer end with ?
"Ned was trying to expand his game collection . He bought number0 games from a friend and bought number1 more at a garage sale . If number2 of the games did n't work , how many good games did he end up with ?",50.0 27.0 74.0,- + number0 number1 number2,3.0,"[10, 11, 12, 17, 18, 19, 25, 26, 27, 40, 41, 42]","Ned was trying to expand his game collection . He bought number0 games from a friend and bought number1 more at a garage sale . If number2 of the games did n't work ,",how many good games did he end up with ?
Frank and his friend were buying trick decks from the magic shop for number0 dollars each . How much did they spend if Frank bought number1 decks and his friend bought number2 decks ?,7.0 3.0 2.0,* number0 + number1 number2,35.0,"[12, 13, 14, 24, 25, 26, 30, 31, 32, 30, 31, 32]",Frank and his friend were buying trick decks from the magic shop for number0 dollars each .,How much did they spend if Frank bought number1 decks and his friend bought number2 decks ?
"In Mr. Olsen 's mathematics class , number0 the students received A 's and number1 received B 's . What fraction of the students received either A 's or B 's ?",0.7 0.2,+ number0 number1,0.9,"[6, 7, 8, 13, 14, 15, 28, 29, 30]","In Mr. Olsen 's mathematics class , number0 the students received A 's and number1 received B 's .",What fraction of the students received either A 's or B 's ?
Roger had number0 dollars . For his birthday he got number1 more dollars but spent number2 on a new game . How much money does he have now ?,29.0 20.0 34.0,- + number0 number1 number2,15.0,"[1, 2, 3, 9, 10, 11, 14, 15, 16, 25, 26, 27]",Roger had number0 dollars . For his birthday he got number1 more dollars but spent number2 on a new game .,How much money does he have now ?
"Sandy has number0 books , Benny has number1 books , and Tim has number2 books . How many books do they have together ?",10.0 24.0 33.0,+ + number0 number1 number2,67,"[1, 2, 3, 6, 7, 8, 12, 13, 14, 20, 21, 22]","Sandy has number0 books , Benny has number1 books , and Tim has number2 books .",How many books do they have together ?
"There are number0 cards in Jean 's card collection . If the cards are organized into number1 groups , how big is each group ?",72.0 9.0,/ number0 number1,8.0,"[1, 2, 3, 15, 16, 17, 21, 22, 23]","There are number0 cards in Jean 's card collection . If the cards are organized into number1 groups ,",how big is each group ?
"There were number0 pieces of candy in a jar . If number1 pieces were red and the rest were blue , how many were blue ?",3409.0 145.0,- number0 number1,3264.0,"[1, 2, 3, 10, 11, 12, 22, 23, 24]","There were number0 pieces of candy in a jar . If number1 pieces were red and the rest were blue ,",how many were blue ?
"Martha has number0 peanuts . Joyce has number1 peanuts . If Joyce gives all of her peanuts to Martha , how many peanuts will Martha have ?",2.0 26.0,+ number0 number1,28.0,"[1, 2, 3, 6, 7, 8, 23, 24, 25]","Martha has number0 peanuts . Joyce has number1 peanuts . If Joyce gives all of her peanuts to Martha ,",how many peanuts will Martha have ?
Jason grew number0 watermelons and number1 cantelopes . Dan grew number2 watermelons . How many watermelons did they grow in total ?,32.0 22.0 31.0,+ number0 number2,63,"[1, 2, 3, 4, 5, 6, 9, 10, 11, 18, 19, 20]",Jason grew number0 watermelons and number1 cantelopes . Dan grew number2 watermelons .,How many watermelons did they grow in total ?
There are number0 walnut trees currently in the park . Park workers will plant number1 walnut trees today . How many walnut trees will the park have when the workers are finished ?,107.0 104.0,+ number0 number1,211,"[1, 2, 3, 13, 14, 15, 29, 30, 31]",There are number0 walnut trees currently in the park . Park workers will plant number1 walnut trees today .,How many walnut trees will the park have when the workers are finished ?
"A bathing suit manufacturer has a supply of number0 bathing suits for men . In addition , it has number1 bathing suits for women . How many bathing suits are available overall ?",14797.0 4969.0,+ number0 number1,19766.0,"[7, 8, 9, 18, 19, 20, 29, 30, 31]","A bathing suit manufacturer has a supply of number0 bathing suits for men . In addition , it has number1 bathing suits for women .",How many bathing suits are available overall ?
A carpenter bought a piece of wood that was number0 meters long . Then she sawed number1 meters off the end . How long is the piece of wood now ?,0.41 0.33,- number0 number1,0.08,"[8, 9, 10, 15, 16, 17, 27, 28, 29]",A carpenter bought a piece of wood that was number0 meters long . Then she sawed number1 meters off the end .,How long is the piece of wood now ?
"At the arcade Dave won number0 tickets . If he spent number1 tickets on a beanie and later won number2 more tickets , how many would he have ?",25.0 22.0 15.0,- + number0 number2 number1,18.0,"[4, 5, 6, 10, 11, 12, 18, 19, 20, 25, 26, 27]","At the arcade Dave won number0 tickets . If he spent number1 tickets on a beanie and later won number2 more tickets ,",how many would he have ?
"David has number0 bananas . He gets number1 more from Christopher . Later , David buys number2 cards at the store . How many bananas does David have in all ?",8.0 50.0 9.0,+ number0 number1,58.0,"[1, 2, 3, 6, 7, 8, 15, 16, 17, 27, 28, 29]","David has number0 bananas . He gets number1 more from Christopher . Later , David buys number2 cards at the store .",How many bananas does David have in all ?
Wendy had number0 files on her computer . She deleted number1 of them and put the rest into folders with number2 files in each one . How many folders did Wendy end up with ?,82.0 37.0 5.0,/ - number0 number1 number2,9.0,"[1, 2, 3, 9, 10, 11, 19, 20, 21, 31, 32, 33]",Wendy had number0 files on her computer . She deleted number1 of them and put the rest into folders with number2 files in each one .,How many folders did Wendy end up with ?
"A new building needed number0 windows . The builder had already installed number1 of them . If it takes number2 hours to install each window , how long will it take him to install the rest ?",10.0 6.0 5.0,* number2 - number0 number1,20.0,"[3, 4, 5, 11, 12, 13, 18, 19, 20, 33, 34, 35]","A new building needed number0 windows . The builder had already installed number1 of them . If it takes number2 hours to install each window ,",how long will it take him to install the rest ?
Ellen went to a garage sale to buy chairs . Each chair cost number0 dollars . How much money did Ellen spend for the number1 chairs she bought ?,15.0 12.0,* number0 number1,180.0,"[12, 13, 14, 25, 26, 27, 27, 28, 29]",Ellen went to a garage sale to buy chairs . Each chair cost number0 dollars .,How much money did Ellen spend for the number1 chairs she bought ?
A marine biologist measured number0 fish that was number1 foot long and a second fish that was number2 foot long . How much longer was the first fish ?,1.0 0.3 0.2,- number1 number2,0.1,"[3, 4, 5, 7, 8, 9, 16, 17, 18, 25, 26, 27]",A marine biologist measured number0 fish that was number1 foot long and a second fish that was number2 foot long .,How much longer was the first fish ?
"A cell phone company has a total of number0 customers across the world . If number1 of its customers live in the United States , how many of its customers live in other countries ?",7422.0 723.0,- number0 number1,6699.0,"[7, 8, 9, 14, 15, 16, 31, 32, 33]","A cell phone company has a total of number0 customers across the world . If number1 of its customers live in the United States ,",how many of its customers live in other countries ?
"Bianca and her friends were recycling paper for their class . For every number0 pounds they recycled they earned one point . If Bianca recycled number1 pounds and her friends recycled number2 pounds , how many points did they earn ?",3.0 24.0 3.0,/ + number0 number1 number0,9.0,"[12, 13, 14, 24, 25, 26, 30, 31, 32, 37, 38, 39]","Bianca and her friends were recycling paper for their class . For every number0 pounds they recycled they earned one point . If Bianca recycled number1 pounds and her friends recycled number2 pounds ,",how many points did they earn ?
Wayne collects number0 blocks . Wayne 's father gives Wayne number1 more . How many blocks does Wayne have ?,9.0 6.0,+ number0 number1,15.0,"[1, 2, 3, 9, 10, 11, 16, 17, 18]",Wayne collects number0 blocks . Wayne 's father gives Wayne number1 more .,How many blocks does Wayne have ?
"Kaleb was collecting cans for recycling . On Saturday he filled number0 bags up and on Sunday he filled number1 more bags . If each bag had number2 cans in it , how many cans did he pick up total ?",5.0 5.0 4.0,* number2 + number0 number0,40.0,"[10, 11, 12, 18, 19, 20, 26, 27, 28, 37, 38, 39]","Kaleb was collecting cans for recycling . On Saturday he filled number0 bags up and on Sunday he filled number1 more bags . If each bag had number2 cans in it ,",how many cans did he pick up total ?
Mrs. Santiago has number0 red roses . Mrs. Garrett has number1 . How many more red roses does Mrs. Santiago have than Mrs. Garrett ?,58.0 24.0,- number0 number1,34.0,"[2, 3, 4, 9, 10, 11, 21, 22, 23]",Mrs. Santiago has number0 red roses . Mrs. Garrett has number1 .,How many more red roses does Mrs. Santiago have than Mrs. Garrett ?
"While shopping for music online , Janet bought number0 country albums and number1 pop albums . Each album came with a lyric sheet and had number2 songs . How many songs did Janet buy total ?",6.0 2.0 9.0,* number2 + number0 number1,72.0,"[7, 8, 9, 11, 12, 13, 24, 25, 26, 32, 33, 34]","While shopping for music online , Janet bought number0 country albums and number1 pop albums . Each album came with a lyric sheet and had number2 songs .",How many songs did Janet buy total ?
"Isabel had number0 homework problems . She finished number1 of them but still had number2 pages of problems to do . If each page has the same number of problems on it , how many problems are on each page ?",72.0 32.0 5.0,/ - number0 number1 number2,8.0,"[1, 2, 3, 7, 8, 9, 13, 14, 15, 37, 38, 39]","Isabel had number0 homework problems . She finished number1 of them but still had number2 pages of problems to do . If each page has the same number of problems on it ,",how many problems are on each page ?
"When relatives visit Haley and her family , she and her cousins do origami . If she has number0 origami papers to give away to her number1 cousins , how many will each receive if she gives everyone the same number of origami papers ?",48.0 6.0,/ number0 number1,8.0,"[17, 18, 19, 25, 26, 27, 41, 42, 43]","When relatives visit Haley and her family , she and her cousins do origami . If she has number0 origami papers to give away to her number1 cousins ,",how many will each receive if she gives everyone the same number of origami papers ?
A pet store had number0 siamese cats and number1 house cats . During a sale they sold number2 cats . How many cats do they have left ?,19.0 45.0 56.0,- + number0 number1 number2,8.0,"[3, 4, 5, 7, 8, 9, 16, 17, 18, 24, 25, 26]",A pet store had number0 siamese cats and number1 house cats . During a sale they sold number2 cats .,How many cats do they have left ?
"Sam found number0 seashells on the beach , he gave Joan number1 of the seashells . How many seashells does he now have ?",35.0 18.0,- number0 number1,17.0,"[1, 2, 3, 10, 11, 12, 20, 21, 22]","Sam found number0 seashells on the beach , he gave Joan number1 of the seashells .",How many seashells does he now have ?
"Diane has number0 crayons . She gets number1 more from Frances . Later , Diane buys number2 cards at the store . How many crayons does Diane have in all ?",37.0 5.0 16.0,+ number0 number1,42.0,"[1, 2, 3, 6, 7, 8, 15, 16, 17, 27, 28, 29]","Diane has number0 crayons . She gets number1 more from Frances . Later , Diane buys number2 cards at the store .",How many crayons does Diane have in all ?
"Bridget has number0 Skittles . Henry has number1 Skittles . If Henry gives all of his Skittles to Bridget , how many Skittles will Bridget have ?",4.0 4.0,+ number0 number0,8.0,"[1, 2, 3, 6, 7, 8, 23, 24, 25]","Bridget has number0 Skittles . Henry has number1 Skittles . If Henry gives all of his Skittles to Bridget ,",how many Skittles will Bridget have ?
Johnny saved $ number0 in September . He saved $ number1 in October and $ number2 in November . Then Johnny spent $ number3 on a video game . How much money does Johnny have left ?,30.0 49.0 46.0 58.0,- + number0 + number1 number2 number3,67.0,"[2, 3, 4, 9, 10, 11, 14, 15, 16, 22, 23, 24, 33, 34, 35]",Johnny saved $ number0 in September . He saved $ number1 in October and $ number2 in November . Then Johnny spent $ number3 on a video game .,How much money does Johnny have left ?
"Paige had number0 songs on her mp3 player . If she deleted number1 old songs from it and then added number2 new songs , how many songs does she have on her mp3 player ?",11.0 9.0 8.0,- + number0 number2 number1,10.0,"[1, 2, 3, 11, 12, 13, 19, 20, 21, 31, 32, 33]","Paige had number0 songs on her mp3 player . If she deleted number1 old songs from it and then added number2 new songs ,",how many songs does she have on her mp3 player ?
Sara picked number0 pears and Tim picked number1 pears from the pear tree . How many pears were picked in total ?,6.0 5.0,+ number0 number1,11,"[1, 2, 3, 6, 7, 8, 18, 19, 20]",Sara picked number0 pears and Tim picked number1 pears from the pear tree .,How many pears were picked in total ?
"While on vacation , Haley took number0 pictures at the zoo and number1 at the museum . If she later deleted number2 of the pictures , how many pictures from her vacation did she still have ?",50.0 8.0 38.0,- + number0 number1 number2,20.0,"[5, 6, 7, 11, 12, 13, 20, 21, 22, 33, 34, 35]","While on vacation , Haley took number0 pictures at the zoo and number1 at the museum . If she later deleted number2 of the pictures ,",how many pictures from her vacation did she still have ?
Iesha has number0 books . number1 are about school and the rest are about sports . How many books about sports does Iesha have ?,344.0 136.0,- number0 number1,208.0,"[1, 2, 3, 4, 5, 6, 21, 22, 23]",Iesha has number0 books . number1 are about school and the rest are about sports .,How many books about sports does Iesha have ?
"At the schools book fair Sam bought number0 adventure books and number1 mystery books . If number2 of the books were used , how many new books did he buy ?",13.0 17.0 15.0,- + number0 number1 number2,15.0,"[6, 7, 8, 10, 11, 12, 15, 16, 17, 27, 28, 29]","At the schools book fair Sam bought number0 adventure books and number1 mystery books . If number2 of the books were used ,",how many new books did he buy ?
David had number0 dollars invested for number1 of a year at a simple rate of number2 % . How much interest did he earn ?,4000.0 0.25 6.1,* * * number0 number1 number2 0.01,61.0,"[1, 2, 3, 5, 6, 7, 14, 15, 16, 21, 22, 23]",David had number0 dollars invested for number1 of a year at a simple rate of number2 % .,How much interest did he earn ?
"Adam had number0 books . If he sold number1 of them and used the money he earned to buy number2 new books , how many books would Adam have ?",48.0 19.0 38.0,- + number0 number2 number1,67.0,"[1, 2, 3, 7, 8, 9, 18, 19, 20, 26, 27, 28]","Adam had number0 books . If he sold number1 of them and used the money he earned to buy number2 new books ,",how many books would Adam have ?
Sally grew number0 carrots . Fred grew number1 carrots . How many carrots did they grow in all ?,6.0 4.0,+ number0 number1,10.0,"[1, 2, 3, 6, 7, 8, 15, 16, 17]",Sally grew number0 carrots . Fred grew number1 carrots .,How many carrots did they grow in all ?
